"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.86856180913951e-22,0.0989020406474879,0.894,0.901,1.06408762723318e-17,"A-A07","C1QBP"
6.44815920552413e-22,-0.171336508346536,0.21,0.253,1.16918022714564e-17,"A-A07","TRIM11"
8.76495346127164e-22,-0.12038947807176,0.404,0.461,1.58926136159777e-17,"A-A07","GTPBP1"
1.13066637869368e-21,-0.107525241091877,0.551,0.608,2.05012427784738e-17,"A-A07","MIDN"
1.15962552319566e-21,-0.103807849731921,0.589,0.649,2.10263299865837e-17,"A-A07","ATP5F1C"
1.99046852818348e-21,-0.116392904778546,0.394,0.451,3.60911753530228e-17,"A-A07","MYL12A"
2.01574894855958e-21,0.0820448180489248,0.914,0.925,3.65495599352822e-17,"A-A07","NDUFB10"
2.0323551954949e-21,-0.0911483684894019,0.844,0.88,3.68506644047136e-17,"A-A07","TFRC"
2.03241591948266e-21,0.0509126119072447,0.988,0.989,3.68517654520597e-17,"A-A07","PFN1"
2.19885096718878e-21,-0.105622904158122,0.643,0.699,3.9869565737067e-17,"A-A07","BOP1"
3.50162069368389e-21,-0.103131526051814,0.422,0.48,6.34913864178763e-17,"A-A07","SASH1"
3.6682705688368e-21,-0.067627624797467,0.903,0.927,6.65130819541489e-17,"A-A07","ATP5MC2"
3.83936609825237e-21,-0.095314551322073,0.63,0.69,6.96153860935119e-17,"A-A07","DARS2"
4.77801980349174e-21,-0.145528169229064,0.279,0.327,8.66350550769123e-17,"A-A07","RPRD1B"
5.24101913389811e-21,-0.127516759631817,0.401,0.457,9.50301589358406e-17,"A-A07","ILVBL"
5.62895988629206e-21,-0.119555629180563,0.401,0.458,1.02064300658248e-16,"A-A07","PVR"
5.66401127383351e-21,-0.0887413043459306,0.689,0.744,1.02699852417149e-16,"A-A07","COLGALT1"
7.15312070250556e-21,-0.204694688024005,0.193,0.234,1.29700384577831e-16,"A-A07","PKP4"
8.97604478115226e-21,-0.142745027045485,0.297,0.346,1.62753643971853e-16,"A-A07","MPI"
9.06941058404237e-21,-0.135765614197873,0.409,0.464,1.64446552709856e-16,"A-A07","MFGE8"
9.85871426681126e-21,0.0830644985962983,0.977,0.98,1.78758207085822e-16,"A-A07","S100A1"
9.97420122748399e-21,-0.104025465883886,0.477,0.538,1.8085221665674e-16,"A-A07","RRBP1"
1.130426528508e-20,-0.130537658205817,0.244,0.289,2.04968938149071e-16,"A-A07","SQLE"
1.36239685829031e-20,-0.0915398983349116,0.592,0.65,2.470297983452e-16,"A-A07","SEPHS2"
1.55494945971219e-20,-0.0865667039218312,0.757,0.802,2.81943436035015e-16,"A-A07","LRRC58"
3.60901679818902e-20,0.0611560620655451,0.987,0.987,6.54386925847633e-16,"A-A07","TUBA1B"
3.61976683614982e-20,-0.238348993221968,0.085,0.114,6.56336122730686e-16,"A-A07","CDK2AP2"
3.88943934104677e-20,-0.0946592669609518,0.441,0.5,7.05233141318601e-16,"A-A07","CHMP1A"
6.13287478688429e-20,-0.14126835465432,0.213,0.255,1.11201285635786e-15,"A-A07","TMEM54"
6.27280118813645e-20,0.0707561199962035,0.955,0.962,1.1373843114329e-15,"A-A07","PFDN2"
6.48926811475362e-20,-0.150181229468471,0.229,0.273,1.17663409456713e-15,"A-A07","NCK2"
6.64596801729136e-20,-0.0851747978004168,0.723,0.771,1.20504692089527e-15,"A-A07","HAX1"
8.15874228696005e-20,-0.108823574873338,0.302,0.351,1.4793431514716e-15,"A-A07","C1orf122"
9.76747837867078e-20,-0.358969604634631,0.075,0.101,1.77103917962059e-15,"A-A07","CRTC1"
